timestamp,open,high,low,close,volume
2019-08-26,51.47,51.8,51.26,51.62,104260000.0
2019-08-27,51.97,52.14,50.88,51.04,103590000.0
2019-08-28,51.02,51.43,50.83,51.38,63830000.0
2019-08-29,52.12,52.33,51.66,52.25,84030000.0
2019-08-30,52.54,52.61,51.8,52.19,84650000.0
2019-09-03,51.61,51.74,51.05,51.42,80240000.0
2019-09-04,52.1,52.37,51.83,52.3,76870000.0
2019-09-05,53.0,53.49,52.88,53.32,95790000.0
2019-09-06,53.51,53.6,53.13,53.31,77450000.0
2019-09-09,53.71,54.11,52.77,53.54,109240000.0
2019-09-10,53.47,54.2,52.93,54.17,127110000.0
2019-09-11,54.52,55.93,54.43,55.9,177160000.0
2019-09-12,56.2,56.6,55.72,55.77,128910000.0
2019-09-13,55.0,55.2,54.26,54.69,159050000.0
2019-09-16,54.43,55.03,54.39,54.98,84630000.0
2019-09-17,54.99,55.2,54.78,55.17,73550000.0
2019-09-18,55.27,55.71,54.86,55.69,102570000.0
2019-09-19,55.5,55.94,55.09,55.24,88750000.0
2019-09-20,55.34,55.64,54.37,54.43,231910000.0
2019-09-23,54.74,54.96,54.41,54.68,77680000.0
2019-09-24,55.26,55.62,54.3,54.42,125740000.0
2019-09-25,54.64,55.38,54.29,55.26,89920000.0
2019-09-26,55.0,55.23,54.71,54.97,76350000.0
2019-09-27,55.13,55.24,54.32,54.7,101450000.0
2019-09-30,55.23,56.15,55.2,55.99,105270000.0
2019-10-01,56.27,57.05,56.05,56.15,144750000.0
2019-10-02,55.77,55.9,54.48,54.74,143070000.0
2019-10-03,54.61,55.24,53.78,55.2,121410000.0
2019-10-04,56.41,56.87,55.97,56.75,139020000.0
2019-10-07,56.57,57.48,56.46,56.77,123560000.0
2019-10-08,56.45,57.02,56.08,56.1,117130000.0
2019-10-09,56.76,56.95,56.41,56.76,76120000.0
2019-10-10,56.98,57.61,56.83,57.52,115850000.0
2019-10-11,58.24,59.41,58.08,59.05,167960000.0
2019-10-14,58.73,59.53,58.67,58.97,97650000.0
2019-10-15,59.1,59.41,58.72,58.83,92160000.0
2019-10-16,58.34,58.81,58.3,58.59,77150000.0
2019-10-17,58.77,59.04,58.38,58.82,69090000.0
2019-10-18,58.65,59.4,58.57,59.1,97510000.0
2019-10-21,59.38,60.25,59.33,60.13,89470000.0
