timestamp,open,high,low,close,volume
2019-08-26,26092,26693,25991,26594,374958
2019-08-27,26795,27096,26695,26896,499775
2019-08-28,26894,27094,26593,26795,255507
2019-08-29,26695,26795,26293,26695,351957
2019-08-30,26896,27197,26896,26996,402408
2019-09-02,26895,27598,26795,27498,575791
2019-09-03,27597,27696,27296,27598,291503
2019-09-04,27498,27899,27397,27799,431250
2019-09-05,27696,27897,26995,27096,598646
2019-09-06,27096,27397,27096,27297,191271
2019-09-09,27096,27197,26494,26695,673204
2019-09-10,26695,27197,26594,27197,310565
2019-09-11,27197,27297,26695,26695,734465
2019-09-16,26994,27094,26292,26494,413424
2019-09-17,26493,26894,26493,26494,326141
2019-09-18,26695,27498,26695,27498,684630
2019-09-19,27397,27598,27096,27197,242822
2019-09-20,27197,27197,26695,27197,358235
2019-09-23,27096,27397,26996,26996,207227
2019-09-24,27095,27697,26995,27698,466753
2019-09-25,27598,27799,27297,27297,301919
2019-09-26,27496,27596,27095,27397,210766
2019-09-27,27397,27397,26996,27197,168760
2019-09-30,26996,27296,26896,27197,202006
2019-10-01,27296,27696,27296,27598,252319
2019-10-02,27397,27498,27197,27197,152309
2019-10-04,26994,27295,26794,26795,238417
2019-10-07,26896,27096,26695,26996,344020
2019-10-08,26996,27096,26795,26996,224907
2019-10-10,26694,27496,26593,27397,694345
2019-10-11,27395,27596,26995,27096,238584
2019-10-14,27297,27397,26896,26996,317555
2019-10-15,27096,27096,26695,26896,190243
2019-10-16,26894,26994,25791,26494,753513
2019-10-17,26392,26592,25891,26193,618170
2019-10-18,26292,26793,26292,26594,332984
2019-10-21,26593,26894,26292,26795,214102
2019-10-22,26896,27297,26896,27297,337570
2019-10-23,27297,28100,27197,28100,1045771
2019-10-24,28200,28501,27898,28000,490092
2019-10-25,28100,28301,28000,28100,196552
2019-10-28,28501,29103,28000,28100,665988
2019-10-29,28401,28501,27698,28000,367213
2019-10-30,28198,28198,27597,27698,251362
2019-10-31,27899,28903,27799,28401,726151
2019-11-01,28602,29304,28501,29204,717046
2019-11-04,29405,29605,29204,29405,436509
2019-11-05,29304,29906,29204,29806,502806
2019-11-06,29906,30308,29706,30308,516744
2019-11-07,30508,31010,29505,30308,1222184
2019-11-08,30507,31109,30307,30508,900774
2019-11-11,30709,31111,30508,30910,509809
2019-11-12,30910,31010,30508,30810,396292
2019-11-13,30609,30910,30308,30810,376959
2019-11-14,31009,31109,30507,31010,651414
2019-11-15,31010,31211,30810,31211,281084
2019-11-18,31210,31711,31210,31612,372362
2019-11-19,31612,31612,31211,31412,323233
2019-11-20,31311,31913,31211,31412,332676
2019-11-21,31412,31512,30308,30910,666854
2019-11-22,30708,31209,30507,30709,335038
2019-11-25,30810,31412,30810,31412,300270
2019-11-26,31511,31811,31411,31612,361401
2019-11-27,31811,31911,31411,31612,294619
2019-11-28,31411,31610,31210,31512,218221
2019-11-29,31311,31913,30810,31211,471253
2019-12-02,31311,31412,30810,31412,250192
2019-12-03,31210,31511,30909,31512,235453
2019-12-04,31310,31310,31009,31311,233141
2019-12-05,31211,31311,29806,30007,841460
2019-12-06,29906,30910,29906,30810,415390
2019-12-09,30908,31008,30307,30408,267330
2019-12-10,30107,30408,29505,30007,516074
2019-12-11,30205,30205,29604,30107,480071
2019-12-12,30308,30408,29905,30007,710378
2019-12-13,30207,30308,29806,30308,456822
2019-12-16,30307,30506,30106,30408,297095
2019-12-17,30406,30506,30006,30207,275832
2019-12-18,30207,30508,30007,30308,252752
2019-12-19,30205,30306,29905,30107,175849
2019-12-20,30106,30707,30006,30107,545445
2019-12-23,30308,30308,29706,29806,283403
